_id,TimePeriod,LocationCode,SubGroup,NumberOfDeaths,NumberOfDeathsQF,NumberOfPatients,NumberOfPatientsQF,CrudeRate
1,2016Q3,A101H,All Admissions,5,"",104,"",4.80769230769231
2,2016Q3,A111H,All Admissions,266,"",9919,"",2.68172194777699
3,2016Q3,A210H,All Admissions,184,"",6422,"",2.8651510432887
4,2016Q3,B120H,All Admissions,140,"",4150,"",3.37349397590361
5,2016Q3,Y144H,All Admissions,26,"",599,"",4.34056761268781
6,2016Q3,Y146H,All Admissions,146,"",6669,"",2.18923376818114
7,2016Q3,V217H,All Admissions,304,"",8194,"",3.71003173053454
8,2016Q3,N101H,All Admissions,376,"",14173,"",2.65293163056516
9,2016Q3,N411H,All Admissions,89,"",2855,"",3.11733800350263
10,2016Q3,C121H,All Admissions,29,"",579,"",5.00863557858376
11,2016Q3,H103H,All Admissions,24,"",817,"",2.937576499388
12,2016Q3,H202H,All Admissions,161,"",7260,"",2.21763085399449
13,2016Q3,H212H,All Admissions,14,"",479,"",2.92275574112735
14,2016Q3,S116H,All Admissions,224,"",6810,"",3.28928046989721
15,2016Q3,S308H,All Admissions,148,"",7113,"",2.08069731477576
16,2016Q3,S314H,All Admissions,370,"",11450,"",3.23144104803493
17,2016Q3,R103H,All Admissions,26,"",767,"",3.38983050847458
18,2016Q3,Z102H,All Admissions,20,"",908,"",2.20264317180617
19,2016Q3,W107H,All Admissions,19,"",1088,"",1.74632352941176
20,2016Q3,F704H,All Admissions,380,"",8746,"",4.34484335696318
21,2016Q3,T101H,All Admissions,347,"",11824,"",2.93470906630582
22,2016Q3,T202H,All Admissions,137,"",3030,"",4.52145214521452
23,2016Q3,T312H,All Admissions,1,"",1045,"",0.0956937799043062
24,2016Q3,C313H,All Admissions,153,"",4562,"",3.35379219640509
25,2016Q3,C418H,All Admissions,315,"",11711,"",2.68977884040646
26,2016Q3,G107H,All Admissions,381,"",18943,"",2.01129704904186
27,2016Q3,G405H,All Admissions,633,"",28324,"",2.23485383420421
28,2016Q3,L106H,All Admissions,229,"",8322,"",2.75174236962269
29,2016Q3,L302H,All Admissions,206,"",7350,"",2.80272108843537
30,2016Q3,L308H,All Admissions,247,"",10278,"",2.40319128235065
31,2016Q3,D102H,All Admissions,29,"",5048,"",0.574484944532488
32,2016Q4,A101H,All Admissions,6,"",97,"",6.18556701030928
33,2016Q4,A111H,All Admissions,315,"",10282,"",3.06360630227582
34,2016Q4,A210H,All Admissions,229,"",6486,"",3.53068146777675
35,2016Q4,B120H,All Admissions,156,"",4398,"",3.54706684856753
36,2016Q4,Y144H,All Admissions,28,"",586,"",4.77815699658703
37,2016Q4,Y146H,All Admissions,207,"",6549,"",3.16078790655062
38,2016Q4,V217H,All Admissions,364,"",8486,"",4.28941786471836
39,2016Q4,N101H,All Admissions,412,"",14109,"",2.92012190800198
40,2016Q4,N411H,All Admissions,88,"",2948,"",2.98507462686567
41,2016Q4,C121H,All Admissions,36,"",583,"",6.17495711835334
42,2016Q4,H103H,All Admissions,37,"",789,"",4.6894803548796
43,2016Q4,H202H,All Admissions,192,"",6950,"",2.76258992805755
44,2016Q4,H212H,All Admissions,22,"",420,"",5.23809523809524
45,2016Q4,S116H,All Admissions,229,"",6930,"",3.3044733044733
46,2016Q4,S308H,All Admissions,196,"",7547,"",2.59705843381476
47,2016Q4,S314H,All Admissions,393,"",11086,"",3.54501172650189
48,2016Q4,R103H,All Admissions,24,"",733,"",3.27421555252387
49,2016Q4,Z102H,All Admissions,31,"",878,"",3.53075170842825
50,2016Q4,W107H,All Admissions,32,"",1059,"",3.02171860245515
51,2016Q4,F704H,All Admissions,445,"",8758,"",5.0810687371546
52,2016Q4,T101H,All Admissions,451,"",12646,"",3.56634508935632
53,2016Q4,T202H,All Admissions,135,"",2968,"",4.54851752021563
54,2016Q4,T312H,All Admissions,4,"",966,"",0.41407867494824
55,2016Q4,C313H,All Admissions,158,"",4507,"",3.50565786554249
56,2016Q4,C418H,All Admissions,371,"",12349,"",3.00429184549356
57,2016Q4,G107H,All Admissions,419,"",19023,"",2.20259685643694
58,2016Q4,G405H,All Admissions,722,"",28017,"",2.5770068172895
59,2016Q4,L106H,All Admissions,290,"",8088,"",3.58555885262117
60,2016Q4,L302H,All Admissions,262,"",7501,"",3.49286761765098
61,2016Q4,L308H,All Admissions,292,"",10800,"",2.7037037037037
62,2016Q4,D102H,All Admissions,30,"",4901,"",0.612119975515201
63,2017Q1,A101H,All Admissions,8,"",94,"",8.51063829787234
64,2017Q1,A111H,All Admissions,314,"",10146,"",3.09481569091268
65,2017Q1,A210H,All Admissions,216,"",6784,"",3.18396226415094
66,2017Q1,B120H,All Admissions,166,"",4103,"",4.04582013161102
67,2017Q1,Y144H,All Admissions,30,"",592,"",5.06756756756757
68,2017Q1,Y146H,All Admissions,210,"",6755,"",3.10880829015544
69,2017Q1,V217H,All Admissions,302,"",8799,"",3.4322082054779
70,2017Q1,N101H,All Admissions,458,"",13569,"",3.37534085046798
71,2017Q1,N411H,All Admissions,95,"",3011,"",3.15509797409499
72,2017Q1,C121H,All Admissions,16,"",580,"",2.75862068965517
73,2017Q1,H103H,All Admissions,40,"",772,"",5.18134715025907
74,2017Q1,H202H,All Admissions,182,"",6949,"",2.61908188228522
75,2017Q1,H212H,All Admissions,25,"",422,"",5.92417061611374
76,2017Q1,S116H,All Admissions,251,"",6988,"",3.59187178019462
77,2017Q1,S308H,All Admissions,166,"",7306,"",2.27210511908021
78,2017Q1,S314H,All Admissions,406,"",11400,"",3.56140350877193
79,2017Q1,R103H,All Admissions,38,"",742,"",5.12129380053908
80,2017Q1,Z102H,All Admissions,19,"",917,"",2.07197382769902
81,2017Q1,W107H,All Admissions,23,"",1095,"",2.10045662100457
82,2017Q1,F704H,All Admissions,452,"",8732,"",5.17636280348145
83,2017Q1,T101H,All Admissions,396,"",12246,"",3.23370896619304
84,2017Q1,T202H,All Admissions,143,"",2996,"",4.77303070761015
85,2017Q1,T312H,All Admissions,1,"",1144,"",0.0874125874125874
86,2017Q1,C313H,All Admissions,144,"",4632,"",3.10880829015544
87,2017Q1,C418H,All Admissions,386,"",12271,"",3.14562790318637
88,2017Q1,G107H,All Admissions,414,"",17614,"",2.35040308845237
89,2017Q1,G405H,All Admissions,779,"",28269,"",2.75566875375853
90,2017Q1,L106H,All Admissions,288,"",8237,"",3.49641859900449
91,2017Q1,L302H,All Admissions,279,"",7777,"",3.58750160730359
92,2017Q1,L308H,All Admissions,301,"",10520,"",2.86121673003802
93,2017Q1,D102H,All Admissions,26,"",5132,"",0.506625097427903
94,2017Q2,A101H,All Admissions,5,"",74,"",6.75675675675676
95,2017Q2,A111H,All Admissions,263,"",9993,"",2.63184228960272
96,2017Q2,A210H,All Admissions,179,"",6494,"",2.75639051432091
97,2017Q2,B120H,All Admissions,151,"",4257,"",3.5470988959361
98,2017Q2,Y144H,All Admissions,23,"",565,"",4.07079646017699
99,2017Q2,Y146H,All Admissions,168,"",6595,"",2.54738438210766
100,2017Q2,V217H,All Admissions,300,"",8641,"",3.47182039115843
101,2017Q2,N101H,All Admissions,397,"",13460,"",2.94947994056464
102,2017Q2,N411H,All Admissions,79,"",3129,"",2.52476829658038
103,2017Q2,C121H,All Admissions,17,"",579,"",2.93609671848014
104,2017Q2,H103H,All Admissions,29,"",775,"",3.74193548387097
105,2017Q2,H202H,All Admissions,163,"",7086,"",2.30031047135196
106,2017Q2,H212H,All Admissions,22,"",426,"",5.16431924882629
107,2017Q2,S116H,All Admissions,206,"",7175,"",2.87108013937282
108,2017Q2,S308H,All Admissions,132,"",7312,"",1.80525164113786
109,2017Q2,S314H,All Admissions,382,"",11389,"",3.35411361840372
110,2017Q2,R103H,All Admissions,33,"",742,"",4.44743935309973
111,2017Q2,Z102H,All Admissions,15,"",961,"",1.56087408949011
112,2017Q2,W107H,All Admissions,21,"",1072,"",1.9589552238806
113,2017Q2,F704H,All Admissions,406,"",9458,"",4.2926622964686
114,2017Q2,T101H,All Admissions,387,"",12336,"",3.13715953307393
115,2017Q2,T202H,All Admissions,127,"",2728,"",4.65542521994135
116,2017Q2,T312H,All Admissions,2,"",920,"",0.217391304347826
117,2017Q2,C313H,All Admissions,142,"",4548,"",3.12225153913808
118,2017Q2,C418H,All Admissions,329,"",11194,"",2.93907450419868
119,2017Q2,G107H,All Admissions,419,"",16914,"",2.47723779117891
120,2017Q2,G405H,All Admissions,650,"",27205,"",2.38926667891932
121,2017Q2,L106H,All Admissions,230,"",8016,"",2.86926147704591
122,2017Q2,L302H,All Admissions,259,"",7619,"",3.39939624622654
123,2017Q2,L308H,All Admissions,253,"",10803,"",2.34194205313339
124,2017Q2,D102H,All Admissions,28,"",5007,"",0.559217096065508
125,2017Q3,A101H,All Admissions,5,"",80,"",6.25
126,2017Q3,A111H,All Admissions,254,"",9792,"",2.59395424836601
127,2017Q3,A210H,All Admissions,189,"",6798,"",2.78022947925861
128,2017Q3,B120H,All Admissions,128,"",4076,"",3.14033366045142
129,2017Q3,Y144H,All Admissions,18,"",488,"",3.68852459016393
130,2017Q3,Y146H,All Admissions,178,"",6438,"",2.76483379931656
131,2017Q3,V217H,All Admissions,295,"",8270,"",3.5671100362757
132,2017Q3,N101H,All Admissions,392,"",13292,"",2.9491423412579
133,2017Q3,N411H,All Admissions,86,"",3037,"",2.83174185051037
134,2017Q3,C121H,All Admissions,21,"",592,"",3.5472972972973
135,2017Q3,H103H,All Admissions,37,"",796,"",4.64824120603015
136,2017Q3,H202H,All Admissions,208,"",7638,"",2.72322597538623
137,2017Q3,H212H,All Admissions,27,"",474,"",5.69620253164557
138,2017Q3,S116H,All Admissions,232,"",7055,"",3.2884479092842
139,2017Q3,S308H,All Admissions,154,"",7086,"",2.1732994637313
140,2017Q3,S314H,All Admissions,370,"",11697,"",3.16320424040352
141,2017Q3,R103H,All Admissions,19,"",705,"",2.69503546099291
142,2017Q3,Z102H,All Admissions,13,"",967,"",1.34436401240951
143,2017Q3,W107H,All Admissions,20,"",1036,"",1.93050193050193
144,2017Q3,F704H,All Admissions,363,"",9466,"",3.83477709697866
145,2017Q3,T101H,All Admissions,383,"",11986,"",3.19539462706491
146,2017Q3,T202H,All Admissions,114,"",2727,"",4.18041804180418
147,2017Q3,T312H,All Admissions,2,"",974,"",0.205338809034908
148,2017Q3,C313H,All Admissions,122,"",4672,"",2.61130136986301
149,2017Q3,C418H,All Admissions,313,"",10370,"",3.01832208293153
150,2017Q3,G107H,All Admissions,358,"",17236,"",2.07704803898816
151,2017Q3,G405H,All Admissions,654,"",27324,"",2.39350021958718
152,2017Q3,L106H,All Admissions,222,"",7597,"",2.92220613400026
153,2017Q3,L302H,All Admissions,261,"",7466,"",3.49584784355746
154,2017Q3,L308H,All Admissions,236,"",10825,"",2.18013856812933
155,2017Q3,D102H,All Admissions,23,"",5255,"",0.43767840152236
156,2017Q4,A101H,All Admissions,6,"",80,"",7.5
157,2017Q4,A111H,All Admissions,324,"",10500,"",3.08571428571429
158,2017Q4,A210H,All Admissions,260,"",6901,"",3.76756991740327
159,2017Q4,B120H,All Admissions,170,"",4224,"",4.02462121212121
160,2017Q4,Y144H,All Admissions,29,"",388,"",7.47422680412371
161,2017Q4,Y146H,All Admissions,203,"",6320,"",3.2120253164557
162,2017Q4,V217H,All Admissions,399,"",8693,"",4.58989991947544
163,2017Q4,N101H,All Admissions,497,"",13520,"",3.67603550295858
164,2017Q4,N411H,All Admissions,91,"",3110,"",2.92604501607717
165,2017Q4,C121H,All Admissions,34,"",530,"",6.41509433962264
166,2017Q4,H103H,All Admissions,25,"",851,"",2.93772032902468
167,2017Q4,H202H,All Admissions,175,"",7495,"",2.33488992661775
168,2017Q4,H212H,All Admissions,15,"",397,"",3.77833753148615
169,2017Q4,S116H,All Admissions,252,"",7221,"",3.48982135438305
170,2017Q4,S308H,All Admissions,171,"",7195,"",2.37665045170257
171,2017Q4,S314H,All Admissions,462,"",11705,"",3.94703118325502
172,2017Q4,R103H,All Admissions,43,"",816,"",5.26960784313725
173,2017Q4,Z102H,All Admissions,20,"",952,"",2.10084033613445
174,2017Q4,W107H,All Admissions,41,"",1098,"",3.73406193078324
175,2017Q4,F704H,All Admissions,445,"",9871,"",4.50815520210718
176,2017Q4,T101H,All Admissions,483,"",12159,"",3.97236614853195
177,2017Q4,T202H,All Admissions,136,"",2625,"",5.18095238095238
178,2017Q4,T312H,All Admissions,4,"",994,"",0.402414486921529
179,2017Q4,C313H,All Admissions,195,"",4781,"",4.0786446350136
180,2017Q4,C418H,All Admissions,393,"",10375,"",3.78795180722892
181,2017Q4,G107H,All Admissions,485,"",17585,"",2.7580324139892
182,2017Q4,G405H,All Admissions,799,"",28523,"",2.80124811555587
183,2017Q4,L106H,All Admissions,323,"",8176,"",3.95058708414873
184,2017Q4,L302H,All Admissions,275,"",7459,"",3.68682128971712
185,2017Q4,L308H,All Admissions,336,"",11286,"",2.97713981924508
186,2017Q4,D102H,All Admissions,30,"",5361,"",0.559597090095131
187,2018Q1,A101H,All Admissions,6,"",70,"",8.57142857142857
188,2018Q1,A111H,All Admissions,319,"",9863,"",3.23431004765284
189,2018Q1,A210H,All Admissions,270,"",6844,"",3.94506136762127
190,2018Q1,B120H,All Admissions,185,"",3889,"",4.75700694265878
191,2018Q1,Y144H,All Admissions,34,"",579,"",5.87219343696028
192,2018Q1,Y146H,All Admissions,244,"",6147,"",3.96941597527249
193,2018Q1,V217H,All Admissions,394,"",8212,"",4.79785679493424
194,2018Q1,N101H,All Admissions,541,"",13346,"",4.05364903341825
195,2018Q1,N411H,All Admissions,93,"",2966,"",3.13553607552259
196,2018Q1,C121H,All Admissions,32,"",544,"",5.88235294117647
197,2018Q1,H103H,All Admissions,27,"",844,"",3.19905213270142
198,2018Q1,H202H,All Admissions,220,"",7105,"",3.09641097818438
199,2018Q1,H212H,All Admissions,30,"",411,"",7.2992700729927
200,2018Q1,S116H,All Admissions,243,"",6917,"",3.51308370680931
201,2018Q1,S308H,All Admissions,178,"",6996,"",2.54431103487707
202,2018Q1,S314H,All Admissions,443,"",11199,"",3.95571033127958
203,2018Q1,R103H,All Admissions,25,"",844,"",2.96208530805687
204,2018Q1,Z102H,All Admissions,32,"",928,"",3.44827586206897
205,2018Q1,W107H,All Admissions,27,"",1086,"",2.48618784530387
206,2018Q1,F704H,All Admissions,456,"",9537,"",4.78137779175842
207,2018Q1,T101H,All Admissions,437,"",11488,"",3.80396935933148
208,2018Q1,T202H,All Admissions,149,"",2644,"",5.63540090771558
209,2018Q1,T312H,All Admissions,1,"",1155,"",0.0865800865800866
210,2018Q1,C313H,All Admissions,154,"",4603,"",3.34564414512275
211,2018Q1,C418H,All Admissions,360,"",9649,"",3.73095657581096
212,2018Q1,G107H,All Admissions,446,"",17217,"",2.59046291456119
213,2018Q1,G405H,All Admissions,742,"",27834,"",2.66580441187037
214,2018Q1,L106H,All Admissions,308,"",8373,"",3.67849038576376
215,2018Q1,L302H,All Admissions,256,"",7692,"",3.32813312532501
216,2018Q1,L308H,All Admissions,321,"",10446,"",3.07294658242389
217,2018Q1,D102H,All Admissions,30,"",5297,"",0.56635831602794
218,2018Q2,A101H,All Admissions,9,"",86,"",10.4651162790698
219,2018Q2,A111H,All Admissions,278,"",9931,"",2.79931527540026
220,2018Q2,A210H,All Admissions,190,"",6595,"",2.88097043214556
221,2018Q2,B120H,All Admissions,156,"",3897,"",4.00307929176289
222,2018Q2,Y144H,All Admissions,34,"",597,"",5.69514237855946
223,2018Q2,Y146H,All Admissions,164,"",6164,"",2.66060999351071
224,2018Q2,V217H,All Admissions,315,"",8389,"",3.75491715341519
225,2018Q2,N101H,All Admissions,397,"",13708,"",2.89611905456668
226,2018Q2,N411H,All Admissions,94,"",3111,"",3.02153648344584
227,2018Q2,C121H,All Admissions,26,"",614,"",4.23452768729642
228,2018Q2,H103H,All Admissions,37,"",891,"",4.15263748597082
229,2018Q2,H202H,All Admissions,163,"",7798,"",2.09027955886125
230,2018Q2,H212H,All Admissions,26,"",490,"",5.30612244897959
231,2018Q2,S116H,All Admissions,200,"",7124,"",2.80741156653565
232,2018Q2,S308H,All Admissions,142,"",7402,"",1.91840043231559
233,2018Q2,S314H,All Admissions,385,"",11608,"",3.31667815299793
234,2018Q2,R103H,All Admissions,25,"",826,"",3.02663438256659
235,2018Q2,Z102H,All Admissions,21,"",958,"",2.19206680584551
236,2018Q2,W107H,All Admissions,22,"",1084,"",2.02952029520295
237,2018Q2,F704H,All Admissions,343,"",9868,"",3.47588163761654
238,2018Q2,T101H,All Admissions,332,"",11855,"",2.80050611556305
239,2018Q2,T202H,All Admissions,116,"",2745,"",4.22586520947177
240,2018Q2,T312H,All Admissions,3,"",1016,"",0.295275590551181
241,2018Q2,C313H,All Admissions,112,"",4627,"",2.42057488653555
242,2018Q2,C418H,All Admissions,300,"",9430,"",3.1813361611877
243,2018Q2,G107H,All Admissions,356,"",17788,"",2.00134922419609
244,2018Q2,G405H,All Admissions,614,"",28356,"",2.16532656227959
245,2018Q2,L106H,All Admissions,218,"",8141,"",2.67780370961798
246,2018Q2,L302H,All Admissions,248,"",7715,"",3.21451717433571
247,2018Q2,L308H,All Admissions,256,"",10785,"",2.37366713027353
248,2018Q2,D102H,All Admissions,25,"",5537,"",0.451508036843056
249,2018Q3,A101H,All Admissions,3,"",96,"",3.125
250,2018Q3,A111H,All Admissions,268,"",9840,"",2.72357723577236
251,2018Q3,A210H,All Admissions,169,"",6322,"",2.67320468206264
252,2018Q3,B120H,All Admissions,166,"",3815,"",4.35124508519004
253,2018Q3,Y144H,All Admissions,25,"",499,"",5.01002004008016
254,2018Q3,Y146H,All Admissions,166,"",6098,"",2.72220400131191
255,2018Q3,V217H,All Admissions,292,"",8143,"",3.58590200171927
256,2018Q3,N101H,All Admissions,404,"",13147,"",3.07294439796151
257,2018Q3,N411H,All Admissions,84,"",3148,"",2.66836086404066
258,2018Q3,C121H,All Admissions,18,"",602,"",2.99003322259136
259,2018Q3,H103H,All Admissions,30,"",862,"",3.48027842227378
260,2018Q3,H202H,All Admissions,177,"",7695,"",2.30019493177388
261,2018Q3,H212H,All Admissions,29,"",469,"",6.18336886993603
262,2018Q3,S116H,All Admissions,218,"",7126,"",3.05921975863037
263,2018Q3,S308H,All Admissions,147,"",7088,"",2.07392776523702
264,2018Q3,S314H,All Admissions,375,"",11494,"",3.26257177657908
265,2018Q3,R103H,All Admissions,22,"",837,"",2.6284348864994
266,2018Q3,Z102H,All Admissions,18,"",945,"",1.9047619047619
267,2018Q3,W107H,All Admissions,26,"",1028,"",2.52918287937743
268,2018Q3,F704H,All Admissions,366,"",9600,"",3.8125
269,2018Q3,T101H,All Admissions,368,"",11366,"",3.237726552877
270,2018Q3,T202H,All Admissions,113,"",2627,"",4.30148458317472
271,2018Q3,T312H,All Admissions,2,"",759,"",0.263504611330698
272,2018Q3,C313H,All Admissions,139,"",4309,"",3.2258064516129
273,2018Q3,C418H,All Admissions,278,"",9420,"",2.95116772823779
274,2018Q3,G107H,All Admissions,372,"",17578,"",2.11628171578109
275,2018Q3,G405H,All Admissions,659,"",27779,"",2.37229561899276
276,2018Q3,L106H,All Admissions,197,"",7999,"",2.46280785098137
277,2018Q3,L302H,All Admissions,206,"",7627,"",2.70093090336961
278,2018Q3,L308H,All Admissions,268,"",10309,"",2.59967019109516
279,2018Q3,D102H,All Admissions,20,"",5386,"",0.371333085777943
280,2018Q4,A101H,All Admissions,8,"",76,"",10.5263157894737
281,2018Q4,A111H,All Admissions,306,"",10564,"",2.89663006436956
282,2018Q4,A210H,All Admissions,202,"",6570,"",3.07458143074581
283,2018Q4,B120H,All Admissions,162,"",3822,"",4.23861852433281
284,2018Q4,Y144H,All Admissions,32,"",549,"",5.8287795992714
285,2018Q4,Y146H,All Admissions,189,"",6304,"",2.99809644670051
286,2018Q4,V217H,All Admissions,351,"",8493,"",4.13281525962557
287,2018Q4,N101H,All Admissions,443,"",13408,"",3.30399761336516
288,2018Q4,N411H,All Admissions,96,"",3408,"",2.8169014084507
289,2018Q4,C121H,All Admissions,20,"",487,"",4.10677618069815
290,2018Q4,H103H,All Admissions,34,"",899,"",3.78197997775306
291,2018Q4,H202H,All Admissions,200,"",7796,"",2.5654181631606
292,2018Q4,H212H,All Admissions,20,"",445,"",4.49438202247191
293,2018Q4,S116H,All Admissions,235,"",7418,"",3.16796980318145
294,2018Q4,S308H,All Admissions,183,"",7335,"",2.49488752556237
295,2018Q4,S314H,All Admissions,468,"",11621,"",4.02719215213837
296,2018Q4,R103H,All Admissions,29,"",833,"",3.48139255702281
297,2018Q4,Z102H,All Admissions,23,"",967,"",2.37849017580145
298,2018Q4,W107H,All Admissions,17,"",893,"",1.9036954087346
299,2018Q4,F704H,All Admissions,430,"",10002,"",4.29914017196561
300,2018Q4,T101H,All Admissions,380,"",11516,"",3.29975686002084
301,2018Q4,T202H,All Admissions,109,"",2643,"",4.12410139992433
302,2018Q4,T312H,All Admissions,3,"",865,"",0.346820809248555
303,2018Q4,C313H,All Admissions,179,"",4341,"",4.1234738539507
304,2018Q4,C418H,All Admissions,359,"",9403,"",3.81793044772945
305,2018Q4,G107H,All Admissions,415,"",17574,"",2.36144304085581
306,2018Q4,G405H,All Admissions,697,"",27946,"",2.49409575610105
307,2018Q4,L106H,All Admissions,214,"",8368,"",2.55736137667304
308,2018Q4,L302H,All Admissions,249,"",8030,"",3.10087173100872
309,2018Q4,L308H,All Admissions,289,"",11295,"",2.55865427180168
310,2018Q4,D102H,All Admissions,25,"",5734,"",0.435995814440181
311,2019Q1,A101H,All Admissions,5,"",89,"",5.61797752808989
312,2019Q1,A111H,All Admissions,316,"",10493,"",3.0115314971886
313,2019Q1,A210H,All Admissions,212,"",6894,"",3.07513780098637
314,2019Q1,B120H,All Admissions,152,"",3866,"",3.93171236420072
315,2019Q1,Y144H,All Admissions,27,"",483,"",5.59006211180124
316,2019Q1,Y146H,All Admissions,181,"",6241,"",2.90017625380548
317,2019Q1,V217H,All Admissions,352,"",8372,"",4.2044911610129
318,2019Q1,N101H,All Admissions,449,"",14004,"",3.20622679234504
319,2019Q1,N411H,All Admissions,113,"",3419,"",3.30505995905235
320,2019Q1,C121H,All Admissions,27,"",543,"",4.97237569060773
321,2019Q1,H103H,All Admissions,26,"",773,"",3.36351875808538
322,2019Q1,H202H,All Admissions,203,"",7963,"",2.54929046841643
323,2019Q1,H212H,All Admissions,19,"",396,"",4.7979797979798
324,2019Q1,S116H,All Admissions,217,"",7469,"",2.90534208059981
